minute,total_qps,mean_cpu,max_cpu,mean_latency,max_latency,n_tenants
0,217.75,13.575,34.86,22.556250000000002,36.82,8
1,214.11,15.21875,40.37,22.240000000000002,42.75,8
2,226.14000000000001,14.75125,42.77,22.74875,44.69,8
3,230.26,13.77375,44.31,22.56375,49.1,8
4,232.18,14.2075,39.62,23.14875,44.57,8
5,215.14000000000001,12.43125,38.74,22.13,39.9,8
6,201.55,10.995000000000001,34.02,21.4775,41.35,8
7,190.47,9.58125,30.56,20.23125,39.37,8
8,238.39000000000001,14.97,38.39,23.48375,39.48,8
9,202.47,12.68125,37.18,21.745,39.3,8
10,176.57,10.97,32.52,20.2625,37.16,8
11,209.82999999999998,11.7075,39.68,21.06625,39.75,8
12,192.57999999999998,11.57,31.14,20.98625,37.56,8
13,198.31,11.157499999999999,36.11,21.2675,39.69,8
14,215.35000000000002,13.4875,41.52,22.1125,41.5,8
15,202.07,12.25125,40.36,21.18,44.42,8
16,201.78,12.04,42.22,21.69125,40.25,8
17,236.09,13.36875,45.84,23.27375,45.06,8
18,203.26000000000002,12.22375,36.56,20.90625,39.0,8
19,221.28,13.692499999999999,41.31,21.761249999999997,40.91,8
20,199.78,13.37375,42.62,20.73,40.99,8
21,208.85000000000002,14.805,43.37,21.52,41.02,8
22,226.83,15.580000000000002,33.64,22.826249999999998,35.62,8
23,226.29,14.13875,46.75,22.736250000000002,45.96,8
24,223.62,14.1,37.5,22.7225,43.29,8
25,234.57,14.95375,38.95,23.1925,41.22,8
26,208.18,12.9075,42.81,21.990000000000002,41.9,8
27,185.77,10.78375,34.68,20.87625,36.58,8
28,193.8,11.655,44.01,21.16875,42.76,8
29,173.46,11.76,41.88,19.79,41.61,8
30,179.0,13.0525,35.96,19.65625,38.81,8
31,169.8,9.2525,35.41,19.26125,37.02,8
32,192.77,10.215,28.66,20.39375,35.36,8
33,174.77,12.305,41.22,19.42875,41.75,8
34,190.07000000000002,11.9975,42.05,20.19875,41.97,8
35,180.13000000000002,12.89375,41.43,19.802500000000002,38.63,8
36,161.49,8.77875,28.85,19.6,33.09,8
37,174.76,9.0625,38.08,19.419999999999998,42.83,8
38,198.84,12.157499999999999,42.91,20.65,43.45,8
39,160.55,9.19,23.56,18.83,33.69,8
40,177.81,11.05125,36.9,19.62625,38.78,8
41,169.95000000000002,10.9275,35.43,19.2175,39.77,8
42,180.95000000000002,10.27,39.86,19.795,40.77,8
43,181.89999999999998,10.51,37.63,20.58625,39.48,8
44,174.56,11.3225,43.46,19.78625,46.87,8
45,194.1,14.14625,44.63,20.94625,43.35,8
46,188.24,10.74625,42.86,20.1125,46.09,8
47,160.23,9.928749999999999,39.48,18.646250000000002,39.61,8
48,170.62,11.2675,37.92,19.29625,37.04,8
49,180.91,11.9275,40.11,19.798750000000002,40.09,8
50,156.85000000000002,8.35625,35.06,18.92125,37.54,8
51,153.87,10.3925,25.49,18.6875,33.42,8
52,187.54000000000002,11.4675,33.77,20.89875,38.91,8
53,192.34,14.335,39.88,20.365,39.41,8
54,198.06,10.535,42.32,20.591250000000002,46.31,8
55,160.53,9.57875,32.19,18.6875,38.05,8
56,161.29999999999998,8.85875,30.82,18.86,34.1,8
57,169.73,10.3275,35.83,19.81875,40.48,8
58,158.32999999999998,10.9075,29.38,18.69125,35.14,8
59,178.51,10.075,35.62,19.68,37.19,8
60,170.13,11.795,38.49,19.1725,39.68,8
61,174.55,11.6775,34.48,19.43375,39.88,8
62,161.42000000000002,10.68125,27.96,18.82875,34.81,8
63,171.25,10.77875,39.54,19.4775,41.7,8
64,148.51,8.90875,32.86,18.18625,34.1,8
65,153.7,10.31625,37.47,18.36875,37.26,8
66,167.1,10.70125,43.52,18.9725,42.78,8
67,220.84,14.731250000000001,37.43,22.35625,39.29,8
68,165.57000000000002,9.13625,33.87,19.7125,39.04,8
69,165.61,10.89,34.11,19.7375,37.36,8
70,156.79,10.12,25.63,18.5225,34.39,8
71,195.10999999999999,12.434999999999999,35.65,21.34125,39.99,8
72,150.89000000000001,11.6725,29.62,18.306250000000002,34.02,8
73,165.03,8.4,31.17,18.861250000000002,39.45,8
74,161.81,10.266250000000001,38.88,18.73125,40.22,8
75,157.29000000000002,10.272499999999999,31.8,18.565,36.38,8
76,149.97,10.065,37.95,18.07375,38.48,8
77,160.5,10.844999999999999,35.98,19.2425,38.85,8
78,148.51,8.69375,30.61,18.01625,37.87,8
79,180.22,11.228750000000002,37.53,20.055,40.39,8
80,169.54,10.68,36.35,19.1825,38.67,8
81,174.29999999999998,10.4225,50.22,19.27875,47.15,8
82,155.68,8.36125,36.31,18.46,37.96,8
83,155.32000000000002,10.50625,31.3,18.48375,36.19,8
84,208.09,13.49625,30.82,21.9175,36.1,8
85,146.07,8.42625,31.52,17.8425,36.88,8
86,192.57,11.70625,38.16,21.173750000000002,40.53,8
