minute,tenant_id,workload_type,sla_ms,qps,cpu_pct,mem_pct,latency_p99_ms
0,t01_ecommerce,oltp,50.0,26.53,14.77,50.74,22.6
1,t01_ecommerce,oltp,50.0,30.04,18.72,45.47,23.92
2,t01_ecommerce,oltp,50.0,31.76,16.86,46.07,24.55
3,t01_ecommerce,oltp,50.0,29.98,14.85,50.03,23.9
4,t01_ecommerce,oltp,50.0,30.24,16.83,46.13,23.99
5,t01_ecommerce,oltp,50.0,32.43,16.15,45.08,24.79
6,t01_ecommerce,oltp,50.0,29.57,12.2,55.08,23.74
7,t01_ecommerce,oltp,50.0,26.8,12.4,49.18,22.7
8,t01_ecommerce,oltp,50.0,24.68,13.89,50.15,21.88
9,t01_ecommerce,oltp,50.0,24.35,8.51,44.76,21.76
10,t01_ecommerce,oltp,50.0,18.63,14.77,40.32,19.42
11,t01_ecommerce,oltp,50.0,27.22,14.78,42.54,22.86
12,t01_ecommerce,oltp,50.0,29.55,9.04,45.27,23.74
13,t01_ecommerce,oltp,50.0,28.68,11.83,49.75,23.41
14,t01_ecommerce,oltp,50.0,21.64,9.28,37.76,20.67
15,t01_ecommerce,oltp,50.0,36.02,19.5,45.51,26.09
16,t01_ecommerce,oltp,50.0,16.41,7.65,46.08,18.45
17,t01_ecommerce,oltp,50.0,27.83,11.01,40.99,23.09
18,t01_ecommerce,oltp,50.0,30.81,10.72,40.77,24.2
19,t01_ecommerce,oltp,50.0,28.44,9.82,45.68,23.32
20,t01_ecommerce,oltp,50.0,21.3,13.94,48.39,20.53
21,t01_ecommerce,oltp,50.0,34.84,16.68,45.46,25.67
22,t01_ecommerce,oltp,50.0,17.25,9.74,44.38,18.82
23,t01_ecommerce,oltp,50.0,8.35,1.62,39.06,14.39
24,t01_ecommerce,oltp,50.0,22.69,9.36,37.39,21.1
25,t01_ecommerce,oltp,50.0,19.51,8.33,48.55,19.8
26,t01_ecommerce,oltp,50.0,22.61,13.01,44.63,21.07
27,t01_ecommerce,oltp,50.0,25.46,17.26,50.16,22.19
28,t01_ecommerce,oltp,50.0,18.94,11.91,42.47,19.55
29,t01_ecommerce,oltp,50.0,17.44,11.16,52.94,18.91
30,t01_ecommerce,oltp,50.0,25.2,16.04,53.58,22.08
31,t01_ecommerce,oltp,50.0,21.2,8.22,48.72,20.49
32,t01_ecommerce,oltp,50.0,34.38,11.7,47.25,25.5
33,t01_ecommerce,oltp,50.0,17.89,7.72,48.19,19.11
34,t01_ecommerce,oltp,50.0,24.02,11.2,39.49,21.63
35,t01_ecommerce,oltp,50.0,19.12,10.81,34.34,19.63
