minute,tenant_id,workload_type,sla_ms,qps,cpu_pct,mem_pct,latency_p99_ms
0,t03_analytics,olap,500.0,14.17,4.22,42.03,17.42
1,t03_analytics,olap,500.0,14.9,13.09,43.14,17.77
2,t03_analytics,olap,500.0,13.58,9.64,38.71,17.14
3,t03_analytics,olap,500.0,13.67,8.66,41.74,17.19
4,t03_analytics,olap,500.0,11.65,4.27,33.77,16.19
5,t03_analytics,olap,500.0,14.97,6.47,45.05,17.8
6,t03_analytics,olap,500.0,10.96,5.74,50.8,15.83
7,t03_analytics,olap,500.0,12.09,6.73,46.83,16.42
8,t03_analytics,olap,500.0,15.47,7.66,38.64,18.03
9,t03_analytics,olap,500.0,13.89,3.58,44.43,17.3
10,t03_analytics,olap,500.0,13.51,7.37,43.04,17.11
11,t03_analytics,olap,500.0,14.14,2.8,38.51,17.41
12,t03_analytics,olap,500.0,11.26,9.09,39.89,15.99
13,t03_analytics,olap,500.0,14.97,6.9,42.12,17.8
14,t03_analytics,olap,500.0,17.62,11.09,46.54,18.99
15,t03_analytics,olap,500.0,12.23,6.68,42.11,16.48
16,t03_analytics,olap,500.0,13.58,2.45,36.43,17.14
17,t03_analytics,olap,500.0,14.5,2.77,32.17,17.58
18,t03_analytics,olap,500.0,16.85,11.06,37.58,18.65
19,t03_analytics,olap,500.0,14.46,5.98,36.09,17.56
20,t03_analytics,olap,500.0,16.15,10.4,42.6,18.34
21,t03_analytics,olap,500.0,13.14,7.42,42.39,16.94
22,t03_analytics,olap,500.0,16.9,8.73,42.64,18.67
23,t03_analytics,olap,500.0,13.72,9.62,49.28,17.21
24,t03_analytics,olap,500.0,10.45,7.74,45.53,15.56
25,t03_analytics,olap,500.0,15.21,6.27,55.6,17.91
26,t03_analytics,olap,500.0,14.39,8.08,47.61,17.53
27,t03_analytics,olap,500.0,12.5,6.41,43.08,16.62
28,t03_analytics,olap,500.0,13.01,3.1,47.12,16.87
29,t03_analytics,olap,500.0,14.31,9.55,46.71,17.49
30,t03_analytics,olap,500.0,13.43,12.48,41.11,17.07
31,t03_analytics,olap,500.0,13.51,4.83,41.53,17.11
32,t03_analytics,olap,500.0,14.21,6.86,38.08,17.45
33,t03_analytics,olap,500.0,13.47,10.58,42.9,17.09
34,t03_analytics,olap,500.0,13.99,8.21,40.95,17.34
35,t03_analytics,olap,500.0,15.78,5.5,49.02,18.17
36,t03_analytics,olap,500.0,13.98,7.75,35.88,17.34
37,t03_analytics,olap,500.0,13.99,2.48,37.2,17.34
38,t03_analytics,olap,500.0,13.39,8.36,47.78,17.05
39,t03_analytics,olap,500.0,10.93,6.4,42.93,15.82
40,t03_analytics,olap,500.0,12.08,3.74,47.82,16.41
41,t03_analytics,olap,500.0,15.17,8.8,36.74,17.89
42,t03_analytics,olap,500.0,15.23,5.62,36.58,17.92
43,t03_analytics,olap,500.0,12.85,8.06,39.54,16.79
44,t03_analytics,olap,500.0,12.17,10.19,44.92,16.45
45,t03_analytics,olap,500.0,9.56,11.0,48.66,15.09
46,t03_analytics,olap,500.0,11.71,6.8,37.7,16.22
47,t03_analytics,olap,500.0,11.76,6.98,44.53,16.25
48,t03_analytics,olap,500.0,13.71,2.52,45.43,17.21
49,t03_analytics,olap,500.0,15.95,9.76,54.49,18.25
50,t03_analytics,olap,500.0,12.38,0.37,35.11,16.56
51,t03_analytics,olap,500.0,12.52,7.04,39.03,16.63
52,t03_analytics,olap,500.0,13.46,7.86,45.8,17.09
53,t03_analytics,olap,500.0,12.79,11.08,43.67,16.76
54,t03_analytics,olap,500.0,13.82,2.63,42.56,17.26
55,t03_analytics,olap,500.0,14.36,7.34,41.14,17.52
56,t03_analytics,olap,500.0,14.68,6.02,41.72,17.67
57,t03_analytics,olap,500.0,11.7,2.78,35.98,16.22
58,t03_analytics,olap,500.0,14.7,10.27,53.86,17.68
59,t03_analytics,olap,500.0,11.35,2.8,38.35,16.04
60,t03_analytics,olap,500.0,12.77,7.04,37.69,16.75
61,t03_analytics,olap,500.0,11.14,5.67,42.69,15.93
62,t03_analytics,olap,500.0,11.81,5.0,40.19,16.28
63,t03_analytics,olap,500.0,15.87,4.57,34.1,18.21
64,t03_analytics,olap,500.0,13.96,7.67,41.27,17.33
65,t03_analytics,olap,500.0,15.57,8.32,52.48,18.08
66,t03_analytics,olap,500.0,15.2,6.63,40.61,17.9
67,t03_analytics,olap,500.0,12.51,4.58,40.26,16.62
68,t03_analytics,olap,500.0,11.6,3.69,44.46,16.17
69,t03_analytics,olap,500.0,9.79,3.92,44.98,15.21
70,t03_analytics,olap,500.0,14.16,7.99,37.45,17.42
71,t03_analytics,olap,500.0,12.9,7.93,46.84,16.81
72,t03_analytics,olap,500.0,12.82,3.26,42.63,16.78
73,t03_analytics,olap,500.0,14.1,7.63,47.56,17.39
74,t03_analytics,olap,500.0,14.65,8.59,45.78,17.65
75,t03_analytics,olap,500.0,10.51,10.78,45.38,15.6
76,t03_analytics,olap,500.0,11.99,6.48,50.0,16.36
77,t03_analytics,olap,500.0,11.06,5.47,44.61,15.89
78,t03_analytics,olap,500.0,9.22,4.1,35.1,14.89
79,t03_analytics,olap,500.0,13.44,10.01,43.49,17.08
80,t03_analytics,olap,500.0,12.89,11.51,45.34,16.81
81,t03_analytics,olap,500.0,14.58,6.07,45.98,17.62
82,t03_analytics,olap,500.0,12.77,3.93,48.18,16.75
83,t03_analytics,olap,500.0,12.81,7.74,50.58,16.77
84,t03_analytics,olap,500.0,11.75,9.98,42.37,16.24
85,t03_analytics,olap,500.0,11.61,8.64,41.28,16.17
86,t03_analytics,olap,500.0,12.05,5.56,37.13,16.4
87,t03_analytics,olap,500.0,14.87,4.9,50.52,17.76
88,t03_analytics,olap,500.0,9.2,2.4,41.61,14.88
89,t03_analytics,olap,500.0,12.89,6.78,41.35,16.81
90,t03_analytics,olap,500.0,11.75,5.09,36.88,16.24
91,t03_analytics,olap,500.0,12.15,5.91,42.74,16.44
92,t03_analytics,olap,500.0,11.52,5.37,49.01,16.12
93,t03_analytics,olap,500.0,13.44,6.88,43.91,17.08
94,t03_analytics,olap,500.0,14.99,8.61,39.64,17.81
95,t03_analytics,olap,500.0,11.21,5.78,44.59,15.97
96,t03_analytics,olap,500.0,12.02,9.21,44.91,16.38
97,t03_analytics,olap,500.0,12.71,10.11,38.03,16.72
98,t03_analytics,olap,500.0,11.06,3.1,34.99,15.89
99,t03_analytics,olap,500.0,9.95,1.42,36.36,15.3
100,t03_analytics,olap,500.0,14.29,4.42,31.93,17.48
101,t03_analytics,olap,500.0,13.94,11.56,52.08,17.32
102,t03_analytics,olap,500.0,12.22,5.75,42.49,16.48
103,t03_analytics,olap,500.0,12.69,2.26,40.8,16.71
104,t03_analytics,olap,500.0,12.64,6.78,46.19,16.69
105,t03_analytics,olap,500.0,13.49,8.82,44.28,17.1
106,t03_analytics,olap,500.0,12.04,9.17,41.74,16.39
107,t03_analytics,olap,500.0,12.13,4.55,37.16,16.44
108,t03_analytics,olap,500.0,13.16,5.76,45.45,16.94
109,t03_analytics,olap,500.0,12.24,7.06,40.63,16.49
110,t03_analytics,olap,500.0,11.52,6.89,38.71,16.13
111,t03_analytics,olap,500.0,12.76,1.77,38.73,16.75
112,t03_analytics,olap,500.0,13.71,7.06,47.42,17.21
113,t03_analytics,olap,500.0,13.59,9.33,43.33,17.15
114,t03_analytics,olap,500.0,9.12,0.0,34.46,14.84
115,t03_analytics,olap,500.0,13.11,4.52,40.11,16.92
116,t03_analytics,olap,500.0,11.26,0.0,35.59,15.99
117,t03_analytics,olap,500.0,10.84,5.15,48.26,15.77
118,t03_analytics,olap,500.0,11.41,1.22,39.82,16.07
119,t03_analytics,olap,500.0,12.03,3.17,41.85,16.38
120,t03_analytics,olap,500.0,12.44,0.18,36.25,16.59
121,t03_analytics,olap,500.0,12.64,5.86,44.85,16.69
122,t03_analytics,olap,500.0,12.4,3.95,41.58,16.57
123,t03_analytics,olap,500.0,13.49,8.24,37.83,17.1
124,t03_analytics,olap,500.0,14.13,12.06,44.49,17.41
125,t03_analytics,olap,500.0,8.77,2.65,44.37,14.64
126,t03_analytics,olap,500.0,14.16,10.48,41.06,17.42
127,t03_analytics,olap,500.0,8.39,11.6,45.83,14.42
128,t03_analytics,olap,500.0,13.54,7.35,41.34,17.13
129,t03_analytics,olap,500.0,12.71,4.25,34.75,16.72
130,t03_analytics,olap,500.0,11.19,5.52,45.83,15.95
131,t03_analytics,olap,500.0,10.59,9.04,47.83,15.64
132,t03_analytics,olap,500.0,14.07,6.21,44.4,17.38
133,t03_analytics,olap,500.0,12.78,4.27,40.38,16.76
134,t03_analytics,olap,500.0,12.62,5.47,34.3,16.68
135,t03_analytics,olap,500.0,13.1,6.48,44.61,16.91
136,t03_analytics,olap,500.0,13.7,10.59,44.07,17.2
137,t03_analytics,olap,500.0,12.01,5.63,39.2,16.38
138,t03_analytics,olap,500.0,13.41,11.08,40.48,17.06
139,t03_analytics,olap,500.0,12.03,3.25,43.27,16.38
140,t03_analytics,olap,500.0,8.98,3.99,43.26,14.76
141,t03_analytics,olap,500.0,13.37,10.95,41.1,17.04
142,t03_analytics,olap,500.0,11.31,6.76,39.09,16.02
143,t03_analytics,olap,500.0,13.11,9.3,48.98,16.92
144,t03_analytics,olap,500.0,12.36,0.0,42.75,16.55
145,t03_analytics,olap,500.0,13.88,6.68,51.9,17.29
146,t03_analytics,olap,500.0,16.01,7.81,40.74,18.27
147,t03_analytics,olap,500.0,13.09,5.9,52.69,16.91
148,t03_analytics,olap,500.0,13.34,6.8,42.57,17.03
149,t03_analytics,olap,500.0,13.86,13.26,41.91,17.28
150,t03_analytics,olap,500.0,16.36,6.51,36.39,18.43
151,t03_analytics,olap,500.0,14.21,3.36,43.07,17.44
152,t03_analytics,olap,500.0,13.55,6.72,45.97,17.13
153,t03_analytics,olap,500.0,10.27,6.45,45.02,15.47
154,t03_analytics,olap,500.0,14.9,2.59,43.26,17.77
155,t03_analytics,olap,500.0,15.53,12.08,46.34,18.06
156,t03_analytics,olap,500.0,10.3,5.04,36.17,15.48
157,t03_analytics,olap,500.0,13.97,8.78,38.9,17.33
158,t03_analytics,olap,500.0,14.48,7.94,49.28,17.57
159,t03_analytics,olap,500.0,12.28,8.81,41.6,16.51
160,t03_analytics,olap,500.0,11.41,1.71,43.73,16.07
