minute,tenant_id,workload_type,sla_ms,qps,cpu_pct,mem_pct,latency_p99_ms
0,t04_gaming,oltp,30.0,27.16,14.68,43.78,22.84
1,t04_gaming,oltp,30.0,10.01,4.79,40.55,15.33
2,t04_gaming,oltp,30.0,7.17,9.38,47.68,13.68
3,t04_gaming,oltp,30.0,0.85,0.0,37.77,7.95
4,t04_gaming,oltp,30.0,16.05,9.05,44.49,18.29
5,t04_gaming,oltp,30.0,4.3,0.0,36.0,11.67
6,t04_gaming,oltp,30.0,6.54,0.51,37.65,13.28
7,t04_gaming,oltp,30.0,0.0,1.33,45.24,5.0
8,t04_gaming,oltp,30.0,42.29,26.33,42.26,28.3
9,t04_gaming,oltp,30.0,13.75,5.48,41.74,17.23
10,t04_gaming,oltp,30.0,4.78,0.0,38.71,12.04
11,t04_gaming,oltp,30.0,0.0,0.0,41.84,5.0
12,t04_gaming,oltp,30.0,5.74,5.32,38.24,12.74
13,t04_gaming,oltp,30.0,4.16,3.42,44.42,11.56
14,t04_gaming,oltp,30.0,3.65,0.0,43.28,11.14
15,t04_gaming,oltp,30.0,1.61,0.38,41.21,9.05
16,t04_gaming,oltp,30.0,16.88,9.64,36.37,18.66
17,t04_gaming,oltp,30.0,13.07,0.9,45.13,16.9
18,t04_gaming,oltp,30.0,0.0,0.0,33.8,5.0
19,t04_gaming,oltp,30.0,0.0,0.0,35.23,5.0
20,t04_gaming,oltp,30.0,0.0,0.8,33.61,5.0
21,t04_gaming,oltp,30.0,1.18,0.0,38.05,8.46
22,t04_gaming,oltp,30.0,60.89,33.64,53.35,34.77
23,t04_gaming,oltp,30.0,39.19,24.68,48.65,27.21
24,t04_gaming,oltp,30.0,33.33,13.36,41.54,25.12
25,t04_gaming,oltp,30.0,52.08,27.06,49.99,31.7
26,t04_gaming,oltp,30.0,28.8,15.89,46.87,23.46
27,t04_gaming,oltp,30.0,12.67,4.51,44.63,16.7
28,t04_gaming,oltp,30.0,8.83,3.97,42.59,14.67
29,t04_gaming,oltp,30.0,1.92,6.9,33.85,9.43
30,t04_gaming,oltp,30.0,0.0,7.35,37.49,5.0
31,t04_gaming,oltp,30.0,0.0,0.25,43.8,5.0
32,t04_gaming,oltp,30.0,0.0,0.0,38.65,5.0
33,t04_gaming,oltp,30.0,0.0,3.27,43.52,5.0
34,t04_gaming,oltp,30.0,0.0,0.0,41.77,5.0
35,t04_gaming,oltp,30.0,0.0,5.2,39.05,5.0
36,t04_gaming,oltp,30.0,5.72,0.13,40.54,12.72
37,t04_gaming,oltp,30.0,0.0,0.0,46.74,5.0
38,t04_gaming,oltp,30.0,0.0,0.62,38.42,5.0
39,t04_gaming,oltp,30.0,0.0,1.09,44.56,5.0
40,t04_gaming,oltp,30.0,0.0,0.0,38.49,5.0
41,t04_gaming,oltp,30.0,0.0,1.2,42.16,5.0
42,t04_gaming,oltp,30.0,0.0,0.0,46.49,5.0
43,t04_gaming,oltp,30.0,14.01,2.27,46.15,17.35
44,t04_gaming,oltp,30.0,2.55,4.1,41.66,10.11
45,t04_gaming,oltp,30.0,3.21,4.52,35.76,10.75
46,t04_gaming,oltp,30.0,0.0,0.63,28.76,5.0
47,t04_gaming,oltp,30.0,0.0,0.0,37.48,5.0
48,t04_gaming,oltp,30.0,0.0,7.0,42.46,5.0
49,t04_gaming,oltp,30.0,0.0,2.31,35.86,5.0
50,t04_gaming,oltp,30.0,1.75,1.64,46.43,9.22
51,t04_gaming,oltp,30.0,0.3,0.25,46.82,6.75
52,t04_gaming,oltp,30.0,10.68,13.17,37.11,15.69
53,t04_gaming,oltp,30.0,0.0,2.54,45.22,5.0
54,t04_gaming,oltp,30.0,0.0,1.47,43.61,5.0
55,t04_gaming,oltp,30.0,0.0,0.0,41.25,5.0
56,t04_gaming,oltp,30.0,0.0,0.0,37.44,5.0
57,t04_gaming,oltp,30.0,8.95,0.0,49.45,14.74
58,t04_gaming,oltp,30.0,0.0,6.82,29.69,5.0
59,t04_gaming,oltp,30.0,0.0,2.05,45.97,5.0
60,t04_gaming,oltp,30.0,0.0,0.0,47.69,5.0
61,t04_gaming,oltp,30.0,0.0,2.5,38.9,5.0
62,t04_gaming,oltp,30.0,0.0,0.0,35.99,5.0
63,t04_gaming,oltp,30.0,0.99,0.0,40.01,8.18
64,t04_gaming,oltp,30.0,0.0,0.0,38.87,5.0
65,t04_gaming,oltp,30.0,0.0,2.32,48.63,5.0
66,t04_gaming,oltp,30.0,0.0,0.0,39.25,5.0
67,t04_gaming,oltp,30.0,73.46,37.43,54.55,39.29
68,t04_gaming,oltp,30.0,13.49,6.75,40.75,17.1
69,t04_gaming,oltp,30.0,14.79,2.28,38.58,17.71
70,t04_gaming,oltp,30.0,0.0,0.0,45.7,5.0
71,t04_gaming,oltp,30.0,18.47,7.54,47.33,19.36
72,t04_gaming,oltp,30.0,0.0,0.0,36.49,5.0
73,t04_gaming,oltp,30.0,0.0,0.0,30.43,5.0
74,t04_gaming,oltp,30.0,0.0,0.0,40.6,5.0
75,t04_gaming,oltp,30.0,0.0,0.0,34.88,5.0
76,t04_gaming,oltp,30.0,0.0,0.0,40.06,5.0
77,t04_gaming,oltp,30.0,3.26,0.0,41.49,10.79
78,t04_gaming,oltp,30.0,0.0,0.0,32.93,5.0
79,t04_gaming,oltp,30.0,1.09,1.98,38.28,8.33
80,t04_gaming,oltp,30.0,0.0,0.0,45.24,5.0
81,t04_gaming,oltp,30.0,0.0,0.48,48.9,5.0
82,t04_gaming,oltp,30.0,0.0,0.0,39.58,5.0
83,t04_gaming,oltp,30.0,0.0,1.86,36.4,5.0
84,t04_gaming,oltp,30.0,47.47,25.88,47.61,30.1
85,t04_gaming,oltp,30.0,0.0,0.0,34.3,5.0
86,t04_gaming,oltp,30.0,16.7,5.03,40.41,18.58
87,t04_gaming,oltp,30.0,3.93,1.98,40.01,11.37
88,t04_gaming,oltp,30.0,0.0,4.79,38.99,5.0
89,t04_gaming,oltp,30.0,0.0,2.83,45.67,5.0
90,t04_gaming,oltp,30.0,0.0,1.06,35.34,5.0
91,t04_gaming,oltp,30.0,0.0,3.32,36.44,5.0
92,t04_gaming,oltp,30.0,0.0,0.0,32.92,5.0
93,t04_gaming,oltp,30.0,0.0,3.17,33.4,5.0
94,t04_gaming,oltp,30.0,0.0,1.11,42.63,5.0
95,t04_gaming,oltp,30.0,7.42,5.93,49.96,13.84
96,t04_gaming,oltp,30.0,0.0,0.0,27.25,5.0
97,t04_gaming,oltp,30.0,0.0,0.6,38.39,5.0
98,t04_gaming,oltp,30.0,0.0,0.0,38.79,5.0
99,t04_gaming,oltp,30.0,0.0,5.28,51.2,5.0
100,t04_gaming,oltp,30.0,0.0,3.43,46.22,5.0
101,t04_gaming,oltp,30.0,0.0,0.0,44.34,5.0
102,t04_gaming,oltp,30.0,0.0,1.5,43.71,5.0
103,t04_gaming,oltp,30.0,0.0,0.13,41.38,5.0
104,t04_gaming,oltp,30.0,0.0,0.0,36.1,5.0
