minute,tenant_id,workload_type,sla_ms,qps,cpu_pct,mem_pct,latency_p99_ms
0,t05_iot_telemetry,oltp,100.0,66.66,34.86,51.47,36.82
1,t05_iot_telemetry,oltp,100.0,82.62,40.37,69.34,42.75
2,t05_iot_telemetry,oltp,100.0,87.52,42.77,57.39,44.69
3,t05_iot_telemetry,oltp,100.0,97.98,44.31,56.35,49.1
4,t05_iot_telemetry,oltp,100.0,87.2,39.62,54.21,44.57
5,t05_iot_telemetry,oltp,100.0,75.12,38.74,62.01,39.9
6,t05_iot_telemetry,oltp,100.0,78.98,34.02,54.49,41.35
7,t05_iot_telemetry,oltp,100.0,73.7,30.56,52.93,39.37
8,t05_iot_telemetry,oltp,100.0,73.98,38.39,60.71,39.48
9,t05_iot_telemetry,oltp,100.0,73.51,37.18,45.73,39.3
10,t05_iot_telemetry,oltp,100.0,67.63,32.52,54.47,37.16
11,t05_iot_telemetry,oltp,100.0,74.72,39.68,57.16,39.75
12,t05_iot_telemetry,oltp,100.0,68.71,31.14,54.65,37.56
13,t05_iot_telemetry,oltp,100.0,74.55,36.11,51.77,39.69
14,t05_iot_telemetry,oltp,100.0,79.37,41.52,59.74,41.5
15,t05_iot_telemetry,oltp,100.0,86.84,40.36,61.37,44.42
16,t05_iot_telemetry,oltp,100.0,76.04,42.22,57.92,40.25
17,t05_iot_telemetry,oltp,100.0,88.41,45.84,54.08,45.06
18,t05_iot_telemetry,oltp,100.0,72.68,36.56,57.11,39.0
19,t05_iot_telemetry,oltp,100.0,77.82,41.31,53.65,40.91
20,t05_iot_telemetry,oltp,100.0,78.03,42.62,63.12,40.99
21,t05_iot_telemetry,oltp,100.0,78.11,43.37,55.8,41.02
22,t05_iot_telemetry,oltp,100.0,63.28,31.67,55.27,35.62
23,t05_iot_telemetry,oltp,100.0,90.63,46.75,60.91,45.96
24,t05_iot_telemetry,oltp,100.0,83.99,37.5,59.45,43.29
25,t05_iot_telemetry,oltp,100.0,78.62,38.95,54.34,41.22
26,t05_iot_telemetry,oltp,100.0,80.41,42.81,54.5,41.9
27,t05_iot_telemetry,oltp,100.0,66.01,34.68,56.2,36.58
28,t05_iot_telemetry,oltp,100.0,82.64,44.01,60.29,42.76
29,t05_iot_telemetry,oltp,100.0,79.66,41.88,58.43,41.61
30,t05_iot_telemetry,oltp,100.0,72.17,35.96,49.87,38.81
31,t05_iot_telemetry,oltp,100.0,67.23,35.41,49.57,37.02
32,t05_iot_telemetry,oltp,100.0,62.57,28.66,48.43,35.36
33,t05_iot_telemetry,oltp,100.0,80.01,41.22,60.3,41.75
34,t05_iot_telemetry,oltp,100.0,80.59,42.05,54.4,41.97
35,t05_iot_telemetry,oltp,100.0,71.68,41.43,52.02,38.63
36,t05_iot_telemetry,oltp,100.0,56.08,28.85,51.25,33.09
37,t05_iot_telemetry,oltp,100.0,82.82,38.08,48.47,42.83
38,t05_iot_telemetry,oltp,100.0,84.4,42.91,48.33,43.45
39,t05_iot_telemetry,oltp,100.0,57.8,23.56,57.29,33.69
40,t05_iot_telemetry,oltp,100.0,72.07,36.9,58.67,38.78
41,t05_iot_telemetry,oltp,100.0,74.76,35.43,52.19,39.77
42,t05_iot_telemetry,oltp,100.0,77.43,39.86,58.14,40.77
43,t05_iot_telemetry,oltp,100.0,73.97,37.63,51.12,39.48
44,t05_iot_telemetry,oltp,100.0,92.8,43.46,68.67,46.87
45,t05_iot_telemetry,oltp,100.0,84.13,44.63,58.98,43.35
46,t05_iot_telemetry,oltp,100.0,90.93,42.86,53.79,46.09
47,t05_iot_telemetry,oltp,100.0,74.33,39.48,61.19,39.61
48,t05_iot_telemetry,oltp,100.0,67.29,37.92,65.24,37.04
49,t05_iot_telemetry,oltp,100.0,75.62,40.11,52.07,40.09
50,t05_iot_telemetry,oltp,100.0,68.68,35.06,51.21,37.54
51,t05_iot_telemetry,oltp,100.0,57.04,25.49,44.44,33.42
52,t05_iot_telemetry,oltp,100.0,72.43,33.77,60.02,38.91
53,t05_iot_telemetry,oltp,100.0,73.81,39.88,60.88,39.41
54,t05_iot_telemetry,oltp,100.0,91.47,42.32,56.95,46.31
55,t05_iot_telemetry,oltp,100.0,70.08,32.19,46.96,38.05
