minute,tenant_id,workload_type,sla_ms,qps,cpu_pct,mem_pct,latency_p99_ms
0,t06_media,mixed,150.0,21.24,5.4,36.56,20.51
1,t06_media,mixed,150.0,22.62,13.55,45.77,21.07
2,t06_media,mixed,150.0,26.94,9.27,52.78,22.75
3,t06_media,mixed,150.0,19.55,9.47,46.99,19.81
4,t06_media,mixed,150.0,20.25,5.49,43.73,20.1
5,t06_media,mixed,150.0,21.04,7.37,43.62,20.43
6,t06_media,mixed,150.0,15.83,8.24,37.2,18.19
7,t06_media,mixed,150.0,14.72,2.11,38.72,17.68
8,t06_media,mixed,150.0,18.53,9.75,47.03,19.38
9,t06_media,mixed,150.0,20.91,10.98,50.52,20.38
10,t06_media,mixed,150.0,19.97,12.79,40.78,19.99
11,t06_media,mixed,150.0,15.58,3.07,36.83,18.08
12,t06_media,mixed,150.0,17.18,10.79,40.26,18.79
13,t06_media,mixed,150.0,19.85,7.14,50.11,19.94
14,t06_media,mixed,150.0,26.32,17.84,53.35,22.52
15,t06_media,mixed,150.0,16.79,7.32,52.9,18.62
16,t06_media,mixed,150.0,18.38,6.79,34.28,19.32
17,t06_media,mixed,150.0,16.36,6.22,40.17,18.43
18,t06_media,mixed,150.0,17.2,9.38,32.62,18.8
19,t06_media,mixed,150.0,21.42,9.03,42.7,20.58
20,t06_media,mixed,150.0,21.17,9.76,35.29,20.48
21,t06_media,mixed,150.0,21.16,11.02,45.42,20.48
22,t06_media,mixed,150.0,20.1,14.73,36.11,20.04
23,t06_media,mixed,150.0,19.76,3.0,48.35,19.9
24,t06_media,mixed,150.0,22.16,13.03,44.88,20.88
25,t06_media,mixed,150.0,18.54,6.22,33.84,19.38
26,t06_media,mixed,150.0,14.84,9.0,46.76,17.74
27,t06_media,mixed,150.0,17.89,9.8,41.03,19.1
28,t06_media,mixed,150.0,18.75,8.93,44.36,19.48
29,t06_media,mixed,150.0,11.44,3.22,36.73,16.08
30,t06_media,mixed,150.0,13.15,7.6,42.76,16.94
31,t06_media,mixed,150.0,16.7,2.88,39.93,18.58
32,t06_media,mixed,150.0,19.43,5.56,35.49,19.76
33,t06_media,mixed,150.0,21.37,12.25,46.96,20.56
34,t06_media,mixed,150.0,18.17,6.34,41.24,19.22
35,t06_media,mixed,150.0,21.9,14.5,50.62,20.78
36,t06_media,mixed,150.0,20.22,4.4,41.23,20.09
37,t06_media,mixed,150.0,15.14,5.74,46.23,17.88
38,t06_media,mixed,150.0,24.6,8.81,43.87,21.85
39,t06_media,mixed,150.0,17.79,6.46,39.88,19.06
40,t06_media,mixed,150.0,15.7,3.32,34.9,18.14
41,t06_media,mixed,150.0,15.89,7.69,44.12,18.22
42,t06_media,mixed,150.0,20.92,8.28,47.16,20.38
43,t06_media,mixed,150.0,10.15,3.59,43.53,15.41
44,t06_media,mixed,150.0,16.1,5.93,43.38,18.32
45,t06_media,mixed,150.0,19.06,9.97,54.45,19.61
46,t06_media,mixed,150.0,17.65,6.81,48.17,19.0
47,t06_media,mixed,150.0,13.82,7.76,44.11,17.26
48,t06_media,mixed,150.0,16.16,12.71,49.73,18.34
49,t06_media,mixed,150.0,17.64,9.33,49.66,19.0
50,t06_media,mixed,150.0,14.43,3.0,34.93,17.55
51,t06_media,mixed,150.0,21.76,11.48,55.33,20.72
52,t06_media,mixed,150.0,15.74,8.13,43.23,18.15
53,t06_media,mixed,150.0,18.22,12.06,46.12,19.25
54,t06_media,mixed,150.0,22.0,6.6,49.92,20.82
55,t06_media,mixed,150.0,18.51,4.65,44.75,19.37
56,t06_media,mixed,150.0,20.07,9.88,47.99,20.03
57,t06_media,mixed,150.0,21.89,13.49,38.31,20.78
58,t06_media,mixed,150.0,19.53,14.24,48.68,19.8
59,t06_media,mixed,150.0,20.27,9.45,54.43,20.11
60,t06_media,mixed,150.0,19.5,7.56,43.33,19.79
61,t06_media,mixed,150.0,21.67,10.89,49.02,20.69
62,t06_media,mixed,150.0,15.49,11.71,44.37,18.04
63,t06_media,mixed,150.0,21.99,12.61,51.57,20.82
64,t06_media,mixed,150.0,16.87,3.95,43.83,18.66
65,t06_media,mixed,150.0,18.01,13.68,54.29,19.15
66,t06_media,mixed,150.0,14.79,3.73,45.12,17.72
67,t06_media,mixed,150.0,16.87,6.47,45.67,18.66
68,t06_media,mixed,150.0,11.41,6.22,39.51,16.07
69,t06_media,mixed,150.0,13.86,3.89,45.52,17.28
70,t06_media,mixed,150.0,16.74,15.83,47.86,18.6
71,t06_media,mixed,150.0,16.85,11.37,43.38,18.65
72,t06_media,mixed,150.0,17.3,11.73,51.24,18.85
73,t06_media,mixed,150.0,18.44,5.96,34.87,19.34
74,t06_media,mixed,150.0,12.1,6.85,42.09,16.42
75,t06_media,mixed,150.0,17.53,9.29,52.63,18.95
76,t06_media,mixed,150.0,12.44,4.07,40.88,16.59
77,t06_media,mixed,150.0,13.9,8.35,47.26,17.3
78,t06_media,mixed,150.0,15.54,10.71,43.77,18.06
79,t06_media,mixed,150.0,16.45,9.08,44.36,18.47
