minute,tenant_id,workload_type,sla_ms,qps,cpu_pct,mem_pct,latency_p99_ms
0,t08_ml_pipeline,olap,800.0,11.11,8.53,48.45,15.91
1,t08_ml_pipeline,olap,800.0,11.32,7.89,36.37,16.02
2,t08_ml_pipeline,olap,800.0,11.34,5.4,31.36,16.03
3,t08_ml_pipeline,olap,800.0,10.68,2.45,43.11,15.69
4,t08_ml_pipeline,olap,800.0,11.67,1.62,45.65,16.2
5,t08_ml_pipeline,olap,800.0,12.95,6.96,41.58,16.84
6,t08_ml_pipeline,olap,800.0,11.62,5.81,43.92,16.17
7,t08_ml_pipeline,olap,800.0,11.85,6.26,45.79,16.3
8,t08_ml_pipeline,olap,800.0,10.93,3.54,47.86,15.82
9,t08_ml_pipeline,olap,800.0,11.54,7.64,36.42,16.14
10,t08_ml_pipeline,olap,800.0,12.1,2.55,46.33,16.42
11,t08_ml_pipeline,olap,800.0,11.32,3.9,42.93,16.02
12,t08_ml_pipeline,olap,800.0,11.09,4.92,40.79,15.91
13,t08_ml_pipeline,olap,800.0,10.88,2.61,40.87,15.79
14,t08_ml_pipeline,olap,800.0,11.19,1.08,44.84,15.95
15,t08_ml_pipeline,olap,800.0,12.12,7.1,45.83,16.43
16,t08_ml_pipeline,olap,800.0,11.34,6.93,44.05,16.03
17,t08_ml_pipeline,olap,800.0,10.67,4.99,35.61,15.68
18,t08_ml_pipeline,olap,800.0,11.03,6.19,51.06,15.87
19,t08_ml_pipeline,olap,800.0,12.04,7.41,52.53,16.39
20,t08_ml_pipeline,olap,800.0,10.92,7.14,43.9,15.82
21,t08_ml_pipeline,olap,800.0,11.22,6.02,51.85,15.97
22,t08_ml_pipeline,olap,800.0,10.37,6.18,43.72,15.52
23,t08_ml_pipeline,olap,800.0,11.35,9.67,42.36,16.04
24,t08_ml_pipeline,olap,800.0,10.72,2.4,42.76,15.71
25,t08_ml_pipeline,olap,800.0,10.28,6.64,34.93,15.47
26,t08_ml_pipeline,olap,800.0,11.15,0.5,43.35,15.93
27,t08_ml_pipeline,olap,800.0,10.21,1.96,45.2,15.44
28,t08_ml_pipeline,olap,800.0,12.02,1.5,28.57,16.38
29,t08_ml_pipeline,olap,800.0,10.6,5.17,43.67,15.65
30,t08_ml_pipeline,olap,800.0,10.24,0.57,37.79,15.45
31,t08_ml_pipeline,olap,800.0,10.79,7.53,47.86,15.75
32,t08_ml_pipeline,olap,800.0,9.39,0.0,39.24,14.99
33,t08_ml_pipeline,olap,800.0,10.71,7.87,46.26,15.7
34,t08_ml_pipeline,olap,800.0,10.31,5.03,42.88,15.49
35,t08_ml_pipeline,olap,800.0,11.89,6.01,39.99,16.32
36,t08_ml_pipeline,olap,800.0,11.77,13.2,46.12,16.25
37,t08_ml_pipeline,olap,800.0,11.15,4.19,36.68,15.94
38,t08_ml_pipeline,olap,800.0,12.51,3.13,44.08,16.62
